id,title,price,currency,scraped_at
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,GBP,2025-12-30 16:31:37
59,The Past Never Ends,56.5,GBP,2025-12-30 16:31:37
60,The Natural History of Us (The Fine Art of Pretending #2),45.22,GBP,2025-12-30 16:31:37
61,The Nameless City (The Nameless City #1),38.16,GBP,2025-12-30 16:31:37
62,The Murder That Never Was (Forensic Instincts #5),54.11,GBP,2025-12-30 16:31:37
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,GBP,2025-12-30 16:31:37
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,GBP,2025-12-30 16:31:37
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,GBP,2025-12-30 16:31:37
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,GBP,2025-12-30 16:31:37
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,GBP,2025-12-30 16:31:37
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,GBP,2025-12-30 16:31:37
69,The Death of Humanity: and the Case for Life,58.11,GBP,2025-12-30 16:31:37
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,GBP,2025-12-30 16:31:37
71,The Art Forger,40.76,GBP,2025-12-30 16:31:37
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,GBP,2025-12-30 16:31:37
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,GBP,2025-12-30 16:31:37
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,GBP,2025-12-30 16:31:37
75,Soul Reader,39.58,GBP,2025-12-30 16:31:37
76,Security,39.25,GBP,2025-12-30 16:31:37
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,GBP,2025-12-30 16:31:37
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,GBP,2025-12-30 16:31:37
79,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,GBP,2025-12-30 16:31:37
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,GBP,2025-12-30 16:31:37
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,GBP,2025-12-30 16:31:37
82,Princess Between Worlds (Wide-Awake Princess #5),13.34,GBP,2025-12-30 16:31:37
83,"Pop Gun War, Volume 1: Gift",18.97,GBP,2025-12-30 16:31:37
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,GBP,2025-12-30 16:31:37
85,Patience,10.16,GBP,2025-12-30 16:31:37
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,GBP,2025-12-30 16:31:37
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,GBP,2025-12-30 16:31:37
88,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,GBP,2025-12-30 16:31:37
89,On a Midnight Clear,14.07,GBP,2025-12-30 16:31:37
90,Obsidian (Lux #1),14.86,GBP,2025-12-30 16:31:37
91,My Paris Kitchen: Recipes and Stories,33.37,GBP,2025-12-30 16:31:37
92,Masks and Shadows,56.4,GBP,2025-12-30 16:31:37
93,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,GBP,2025-12-30 16:31:37
94,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,GBP,2025-12-30 16:31:37
95,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,GBP,2025-12-30 16:31:37
96,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,GBP,2025-12-30 16:31:37
97,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,GBP,2025-12-30 16:31:37
98,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,GBP,2025-12-30 16:31:37
99,Join,35.67,GBP,2025-12-30 16:31:37
100,In the Country We Love: My Family Divided,22.0,GBP,2025-12-30 16:31:37
101,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,GBP,2025-12-30 16:31:37
102,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,GBP,2025-12-30 16:31:37
103,I am a Hero Omnibus Volume 1,54.63,GBP,2025-12-30 16:31:37
104,How to Be Miserable: 40 Strategies You Already Use,46.03,GBP,2025-12-30 16:31:37
105,Her Backup Boyfriend (The Sorensen Family #1),33.97,GBP,2025-12-30 16:31:37
106,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,GBP,2025-12-30 16:31:37
107,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,GBP,2025-12-30 16:31:37
108,First and First (Five Boroughs #3),15.97,GBP,2025-12-30 16:31:37
109,Fifty Shades Darker (Fifty Shades #2),21.96,GBP,2025-12-30 16:31:37
110,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,GBP,2025-12-30 16:31:37
111,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,GBP,2025-12-30 16:31:37
112,Danganronpa Volume 1,51.99,GBP,2025-12-30 16:31:37
113,Crown of Midnight (Throne of Glass #2),43.29,GBP,2025-12-30 16:31:37
114,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,GBP,2025-12-30 16:31:37
115,Camp Midnight,17.08,GBP,2025-12-30 16:31:37
116,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,GBP,2025-12-30 16:31:37
117,Burning,28.81,GBP,2025-12-30 16:31:37
118,Bossypants,49.46,GBP,2025-12-30 16:31:37
119,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,GBP,2025-12-30 16:31:37
120,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,GBP,2025-12-30 16:31:37
121,Algorithms to Live By: The Computer Science of Human Decisions,30.81,GBP,2025-12-30 16:31:37
122,A World of Flavor: Your Gluten Free Passport,42.95,GBP,2025-12-30 16:31:37
123,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,GBP,2025-12-30 16:31:37
124,A Murder in Time,16.64,GBP,2025-12-30 16:31:37
125,A Flight of Arrows (The Pathfinders #2),55.53,GBP,2025-12-30 16:31:37
126,A Fierce and Subtle Poison,28.13,GBP,2025-12-30 16:31:37
127,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,GBP,2025-12-30 16:31:37
128,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,GBP,2025-12-30 16:31:37
129,You Are What You Love: The Spiritual Power of Habit,21.87,GBP,2025-12-30 16:31:37
130,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,GBP,2025-12-30 16:31:37
131,Tuesday Nights in 1980,21.04,GBP,2025-12-30 16:31:37
132,Tracing Numbers on a Train,41.6,GBP,2025-12-30 16:31:37
133,Throne of Glass (Throne of Glass #1),35.07,GBP,2025-12-30 16:31:37
134,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,GBP,2025-12-30 16:31:37
135,Thirteen Reasons Why,52.72,GBP,2025-12-30 16:31:37
136,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,GBP,2025-12-30 16:31:37
137,The Wedding Dress,24.12,GBP,2025-12-30 16:31:37
138,The Vacationers,42.15,GBP,2025-12-30 16:31:37
139,The Third Wave: An Entrepreneurâs Vision of the Future,12.61,GBP,2025-12-30 16:31:37
140,The Stranger,17.44,GBP,2025-12-30 16:31:37
141,The Shadow Hero (The Shadow Hero),33.14,GBP,2025-12-30 16:31:37
142,The Secret (The Secret #1),27.37,GBP,2025-12-30 16:31:37
143,The Regional Office Is Under Attack!,51.36,GBP,2025-12-30 16:31:37
144,The Psychopath Test: A Journey Through the Madness Industry,36.0,GBP,2025-12-30 16:31:37
145,The Project,10.65,GBP,2025-12-30 16:31:37
146,The Power of Now: A Guide to Spiritual Enlightenment,43.54,GBP,2025-12-30 16:31:38
147,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,GBP,2025-12-30 16:31:38
148,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,GBP,2025-12-30 16:31:38
149,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,GBP,2025-12-30 16:31:38
150,The Mistake (Off-Campus #2),43.29,GBP,2025-12-30 16:31:38
151,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,GBP,2025-12-30 16:31:38
152,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,GBP,2025-12-30 16:31:38
153,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,GBP,2025-12-30 16:31:38
154,The Kite Runner,41.82,GBP,2025-12-30 16:31:38
155,The House by the Lake,36.95,GBP,2025-12-30 16:31:38
156,The Glittering Court (The Glittering Court #1),44.28,GBP,2025-12-30 16:31:38
157,The Girl on the Train,55.02,GBP,2025-12-30 16:31:38
158,The Genius of Birds,17.24,GBP,2025-12-30 16:31:38
159,The Emerald Mystery,23.15,GBP,2025-12-30 16:31:38
160,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,GBP,2025-12-30 16:31:38
161,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,GBP,2025-12-30 16:31:38
162,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,GBP,2025-12-30 16:31:38
163,The Art of War,33.34,GBP,2025-12-30 16:31:38
164,The Argonauts,10.93,GBP,2025-12-30 16:31:38
165,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,GBP,2025-12-30 16:31:38
166,Suddenly in Love (Lake Haven #1),55.99,GBP,2025-12-30 16:31:38
167,Something More Than This,16.24,GBP,2025-12-30 16:31:38
168,Soft Apocalypse,26.12,GBP,2025-12-30 16:31:38
169,So You've Been Publicly Shamed,12.23,GBP,2025-12-30 16:31:38
170,Shoe Dog: A Memoir by the Creator of NIKE,23.99,GBP,2025-12-30 16:31:38
171,"Shobu Samurai, Project Aryoku (#3)",29.06,GBP,2025-12-30 16:31:38
172,Secrets and Lace (Fatal Hearts #1),20.27,GBP,2025-12-30 16:31:38
173,Scarlett Epstein Hates It Here,43.55,GBP,2025-12-30 16:31:38
174,Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,GBP,2025-12-30 16:31:38
175,Redeeming Love,20.47,GBP,2025-12-30 16:31:38
176,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,GBP,2025-12-30 16:31:38
177,Poems That Make Grown Women Cry,14.19,GBP,2025-12-30 16:31:38
178,"Nightingale, Sing",38.28,GBP,2025-12-30 16:31:38
179,Night Sky with Exit Wounds,41.05,GBP,2025-12-30 16:31:38
180,Mrs. Houdini,30.25,GBP,2025-12-30 16:31:38
181,Modern Romance,28.26,GBP,2025-12-30 16:31:38
182,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,GBP,2025-12-30 16:31:38
183,Louisa: The Extraordinary Life of Mrs. Adams,16.85,GBP,2025-12-30 16:31:38
184,Little Red,13.47,GBP,2025-12-30 16:31:38
185,Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,GBP,2025-12-30 16:31:38
186,Large Print Heart of the Pride,19.15,GBP,2025-12-30 16:31:38
187,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,GBP,2025-12-30 16:31:38
188,Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,GBP,2025-12-30 16:31:38
189,Grumbles,22.16,GBP,2025-12-30 16:31:38
190,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,GBP,2025-12-30 16:31:38
191,Frostbite (Vampire Academy #2),29.99,GBP,2025-12-30 16:31:38
192,Follow You Home,21.36,GBP,2025-12-30 16:31:38
193,First Steps for New Christians (Print Edition),29.0,GBP,2025-12-30 16:31:38
194,Finders Keepers (Bill Hodges Trilogy #2),53.53,GBP,2025-12-30 16:31:38
195,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,GBP,2025-12-30 16:31:38
196,Eureka Trivia 6.0,54.59,GBP,2025-12-30 16:31:38
197,Drive: The Surprising Truth About What Motivates Us,34.95,GBP,2025-12-30 16:31:38
198,Done Rubbed Out (Reightman & Bailey #1),37.72,GBP,2025-12-30 16:31:38
199,Doing It Over (Most Likely To #1),35.61,GBP,2025-12-30 16:31:38
200,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,GBP,2025-12-30 16:31:38
201,Dark Notes,19.19,GBP,2025-12-30 16:31:38
202,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,GBP,2025-12-30 16:31:38
203,Close to You,49.46,GBP,2025-12-30 16:31:38
204,Chasing Heaven: What Dying Taught Me About Living,37.8,GBP,2025-12-30 16:31:38
205,Big Magic: Creative Living Beyond Fear,30.8,GBP,2025-12-30 16:31:38
206,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,GBP,2025-12-30 16:31:38
207,Beauty Restored (Riley Family Legacy Novellas #3),11.11,GBP,2025-12-30 16:31:38
208,Batman: The Long Halloween (Batman),36.5,GBP,2025-12-30 16:31:38
209,Batman: The Dark Knight Returns (Batman),15.38,GBP,2025-12-30 16:31:38
210,Ayumi's Violin,15.48,GBP,2025-12-30 16:31:38
211,Anonymous,46.82,GBP,2025-12-30 16:31:38
212,Amy Meets the Saints and Sages,18.46,GBP,2025-12-30 16:31:38
213,Amid the Chaos,36.58,GBP,2025-12-30 16:31:38
214,Amatus,50.54,GBP,2025-12-30 16:31:38
215,Agnostic: A Spirited Manifesto,12.51,GBP,2025-12-30 16:31:38
216,Zealot: The Life and Times of Jesus of Nazareth,24.7,GBP,2025-12-30 16:31:38
217,You (You #1),43.61,GBP,2025-12-30 16:31:38
218,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,GBP,2025-12-30 16:31:38
219,Wild Swans,14.36,GBP,2025-12-30 16:31:38
220,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,GBP,2025-12-30 16:31:38
221,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,GBP,2025-12-30 16:31:38
222,What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,GBP,2025-12-30 16:31:38
223,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,GBP,2025-12-30 16:31:38
224,Walt Disney's Alice in Wonderland,12.96,GBP,2025-12-30 16:31:38
225,V for Vendetta (V for Vendetta Complete),37.1,GBP,2025-12-30 16:31:38
226,Until Friday Night (The Field Party #1),46.31,GBP,2025-12-30 16:31:38
227,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,GBP,2025-12-30 16:31:38
228,Twenty Yawns,22.08,GBP,2025-12-30 16:31:38
229,Through the Woods,25.38,GBP,2025-12-30 16:31:38
230,This Is Where It Ends,27.12,GBP,2025-12-30 16:31:38
231,The Year of Magical Thinking,43.04,GBP,2025-12-30 16:31:38
232,The Wright Brothers,56.8,GBP,2025-12-30 16:31:38
233,The White Queen (The Cousins' War #1),25.91,GBP,2025-12-30 16:31:38
234,The Wedding Pact (The O'Malleys #2),32.61,GBP,2025-12-30 16:31:38
235,The Time Keeper,27.88,GBP,2025-12-30 16:31:38
236,The Testament of Mary,52.67,GBP,2025-12-30 16:31:38
237,The Star-Touched Queen,46.02,GBP,2025-12-30 16:31:38
238,The Songs of the Gods,44.48,GBP,2025-12-30 16:31:38
239,The Song of Achilles,37.4,GBP,2025-12-30 16:31:38
240,The Rosie Project (Don Tillman #1),54.04,GBP,2025-12-30 16:31:38
241,The Power of Habit: Why We Do What We Do in Life and Business,16.88,GBP,2025-12-30 16:31:38
242,The Marriage of Opposites,28.08,GBP,2025-12-30 16:31:38
243,The Lucifer Effect: Understanding How Good People Turn Evil,10.4,GBP,2025-12-30 16:31:38
244,The Long Haul (Diary of a Wimpy Kid #9),44.07,GBP,2025-12-30 16:31:38
245,The Loney,23.4,GBP,2025-12-30 16:31:38
246,The Literature Book (Big Ideas Simply Explained),17.43,GBP,2025-12-30 16:31:38
247,The Last Mile (Amos Decker #2),54.21,GBP,2025-12-30 16:31:38
248,The Immortal Life of Henrietta Lacks,40.67,GBP,2025-12-30 16:31:38
249,The Hidden Oracle (The Trials of Apollo #1),52.26,GBP,2025-12-30 16:31:38
250,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,GBP,2025-12-30 16:31:38
251,The Guilty (Will Robie #4),13.82,GBP,2025-12-30 16:31:38
252,The First Hostage (J.B. Collins #2),25.85,GBP,2025-12-30 16:31:38
253,The Dovekeepers,48.78,GBP,2025-12-30 16:31:38
254,The Darkest Lie,35.35,GBP,2025-12-30 16:31:38
255,The Bane Chronicles (The Bane Chronicles #1-11),44.73,GBP,2025-12-30 16:31:38
256,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,GBP,2025-12-30 16:31:38
257,The 14th Colony (Cotton Malone #11),39.24,GBP,2025-12-30 16:31:38
258,That Darkness (Gardiner and Renner #1),13.92,GBP,2025-12-30 16:31:38
259,Tastes Like Fear (DI Marnie Rome #3),10.69,GBP,2025-12-30 16:31:38
260,Take Me with You,45.21,GBP,2025-12-30 16:31:38
261,Swell: A Year of Waves,45.58,GBP,2025-12-30 16:31:38
262,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,GBP,2025-12-30 16:31:38
263,Still Life with Bread Crumbs,26.41,GBP,2025-12-30 16:31:38
264,Steve Jobs,39.5,GBP,2025-12-30 16:31:38
265,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,GBP,2025-12-30 16:31:38
266,Someone Like You (The Harrisons #2),52.79,GBP,2025-12-30 16:31:38
267,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,GBP,2025-12-30 16:31:38
268,Shtum,55.84,GBP,2025-12-30 16:31:38
269,See America: A Celebration of Our National Parks & Treasured Sites,48.87,GBP,2025-12-30 16:31:38
270,salt.,46.78,GBP,2025-12-30 16:31:38
271,Robin War,47.82,GBP,2025-12-30 16:31:38
272,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,GBP,2025-12-30 16:31:38
273,Rain Fish,23.57,GBP,2025-12-30 16:31:38
274,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,GBP,2025-12-30 16:31:38
275,Pet Sematary,10.56,GBP,2025-12-30 16:31:38
276,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,GBP,2025-12-30 16:31:38
277,Once Was a Time,18.28,GBP,2025-12-30 16:31:38
278,Old School (Diary of a Wimpy Kid #10),11.83,GBP,2025-12-30 16:31:38
279,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,GBP,2025-12-30 16:31:38
280,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,GBP,2025-12-30 16:31:38
281,My Name Is Lucy Barton,41.56,GBP,2025-12-30 16:31:38
282,My Mrs. Brown,24.48,GBP,2025-12-30 16:31:38
283,My Kind of Crazy,40.36,GBP,2025-12-30 16:31:38
284,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,GBP,2025-12-30 16:31:38
285,More Than Music (Chasing the Dream #1),37.61,GBP,2025-12-30 16:31:38
286,Made to Stick: Why Some Ideas Survive and Others Die,38.85,GBP,2025-12-30 16:31:38
287,Luis Paints the World,53.95,GBP,2025-12-30 16:31:38
288,Luckiest Girl Alive,49.83,GBP,2025-12-30 16:31:38
289,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,GBP,2025-12-30 16:31:38
290,Love Is a Mix Tape (Music #1),18.03,GBP,2025-12-30 16:31:38
291,Looking for Lovely: Collecting the Moments that Matter,29.14,GBP,2025-12-30 16:31:38
292,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,GBP,2025-12-30 16:31:38
293,Let It Out: A Journey Through Journaling,26.79,GBP,2025-12-30 16:31:38
294,Lady Midnight (The Dark Artifices #1),16.28,GBP,2025-12-30 16:31:38
295,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,GBP,2025-12-30 16:31:38
296,Island of Dragons (Unwanteds #7),29.65,GBP,2025-12-30 16:31:38
297,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,GBP,2025-12-30 16:31:38
298,I Am Pilgrim (Pilgrim #1),10.6,GBP,2025-12-30 16:31:38
299,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,GBP,2025-12-30 16:31:38
300,"Hush, Hush (Hush, Hush #1)",47.02,GBP,2025-12-30 16:31:38
301,Hold Your Breath (Search and Rescue #1),28.82,GBP,2025-12-30 16:31:38
302,Hamilton: The Revolution,58.79,GBP,2025-12-30 16:31:38
303,Greek Mythic History,10.23,GBP,2025-12-30 16:31:38
304,God: The Most Unpleasant Character in All Fiction,30.03,GBP,2025-12-30 16:31:38
305,Glory over Everything: Beyond The Kitchen House,45.84,GBP,2025-12-30 16:31:38
306,Feathers: Displays of Brilliant Plumage,49.05,GBP,2025-12-30 16:31:38
307,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,GBP,2025-12-30 16:31:38
308,Every Last Word,46.47,GBP,2025-12-30 16:31:38
309,Eligible (The Austen Project #4),27.09,GBP,2025-12-30 16:31:38
310,El Deafo,57.62,GBP,2025-12-30 16:31:38
311,Eight Hundred Grapes,14.39,GBP,2025-12-30 16:31:38
312,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,GBP,2025-12-30 16:31:38
313,"Eat Fat, Get Thin",54.07,GBP,2025-12-30 16:31:38
314,Don't Get Caught,55.35,GBP,2025-12-30 16:31:38
315,Doctor Sleep (The Shining #2),40.12,GBP,2025-12-30 16:31:38
316,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,GBP,2025-12-30 16:31:38
317,Dear Mr. Knightley,11.21,GBP,2025-12-30 16:31:38
